group,requested_length,flag,baseline_fail_candidate_fail,baseline_fail_candidate_pass,baseline_pass_candidate_fail,baseline_pass_candidate_pass,discordant_candidate_better,discordant_baseline_better,mcnemar_exact_p_value,baseline_pass_fraction,candidate_pass_fraction,mcnemar_exact_p_value_bh
overall,,empirical_real_like_geometry_pass,375,0,0,0,0,0,,0.0,0.0,
overall,,heuristic_edm_quality_pass,319,44,2,10,44,2,3.0752289603697136e-11,0.032,0.144,8.833467290969566e-11
64,64.0,empirical_real_like_geometry_pass,100,0,0,0,0,0,,0.0,0.0,
64,64.0,heuristic_edm_quality_pass,45,43,2,10,43,2,5.88897819397971e-11,0.12,0.53,8.833467290969566e-11
128,128.0,empirical_real_like_geometry_pass,100,0,0,0,0,0,,0.0,0.0,
128,128.0,heuristic_edm_quality_pass,99,1,0,0,1,0,1.0,0.0,0.01,1.0
256,256.0,empirical_real_like_geometry_pass,100,0,0,0,0,0,,0.0,0.0,
256,256.0,heuristic_edm_quality_pass,100,0,0,0,0,0,,0.0,0.0,
384,384.0,empirical_real_like_geometry_pass,50,0,0,0,0,0,,0.0,0.0,
384,384.0,heuristic_edm_quality_pass,50,0,0,0,0,0,,0.0,0.0,
500,500.0,empirical_real_like_geometry_pass,25,0,0,0,0,0,,0.0,0.0,
500,500.0,heuristic_edm_quality_pass,25,0,0,0,0,0,,0.0,0.0,
