group,requested_length,metric,baseline_mean,baseline_median,candidate_mean,candidate_median,paired_mean_change_candidate_minus_baseline,paired_median_change_candidate_minus_baseline,mean_improvement_baseline_minus_candidate,median_improvement_baseline_minus_candidate,relative_mean_change,bootstrap_ci_low,bootstrap_ci_high,fraction_improved,paired_standardized_effect_size,paired_sample_count,sign_test_p_value,sign_test_improved,sign_test_worsened,sign_test_ties,sign_test_p_value_bh
64,64.0,triangle_violation_fraction,0.00310546875,0.00146484375,0.0043017578125,0.00244140625,0.0011962890625,0.00048828125,-0.0011962890625,-0.00048828125,0.38522012578616355,-0.0022900390625,-0.00028308105468750064,0.31,-0.2337620680862594,100,0.005544959035344677,31,58,11,0.011089918070689354
64,64.0,negative_eigenvalue_mass_fraction,0.04869330367867025,0.04888940557679484,0.051912388495042594,0.05216687126296955,0.003219084816372339,0.0017384154332761373,-0.003219084816372339,-0.0017384154332761373,0.06610939437618069,-0.005217530423192212,-0.0012838455772552022,0.37,-0.30982372482477644,100,0.012032975725363479,37,63,0,0.02123466304475908
64,64.0,rank3_residual_energy_fraction,0.07898002276611377,0.07867921754168972,0.07594390263208242,0.0707390646746113,-0.003036120134031343,-0.005914308710188124,0.003036120134031343,0.005914308710188124,-0.03844162140877461,-0.0009020844591394405,0.007098343253606423,0.59,0.14608148076493238,100,0.08862608011406758,59,41,0,0.14771013352344597
64,64.0,classical_mds_stress,0.03954666627116128,0.03796640337689543,0.03643198300307005,0.031409733082361356,-0.003114683268091227,-0.004083428608359198,0.003114683268091227,0.004083428608359198,-0.07875969232740507,0.0002629625453421606,0.005793477736521387,0.69,0.22423318058530767,100,0.00018314322488235363,69,31,0,0.0005494296746470608
64,64.0,adjacent_residue_distance_rmse,0.28677396511706876,0.25930445699234506,0.3395380708358859,0.3217438067789128,0.05276410571881706,0.05514421874095431,-0.05276410571881706,-0.05514421874095431,0.18399196627656703,-0.07190086270943512,-0.033888631213726136,0.24,-0.5158857586455374,100,1.8100026213029253e-07,24,76,0,9.050013106514626e-07
128,128.0,triangle_violation_fraction,0.0012548828125,0.0009765625,0.00119140625,0.0009765625,-6.34765625e-05,0.0,6.34765625e-05,0.0,-0.0505836575875486,-0.00020031738281249997,0.0003466796875,0.41,0.043521552192012,100,0.6487911623106448,41,36,23,0.7208790692340499
128,128.0,negative_eigenvalue_mass_fraction,0.08316476831072807,0.08435783361516946,0.07454667442775097,0.07578568274133365,-0.008618093882977079,-0.0074123590974306194,0.008618093882977079,0.0074123590974306194,-0.10362674072243386,0.006725683588602049,0.010540495093612672,0.86,0.8717684322560081,100,8.284451872080075e-14,86,14,0,2.4853355616240224e-12
128,128.0,rank3_residual_energy_fraction,0.1335614384301001,0.13164185236368559,0.12596693804363945,0.1290750291152727,-0.007594500386460661,-0.008056181766849142,0.007594500386460661,0.008056181766849142,-0.056861474956600266,0.0027159652578455473,0.012548332195832328,0.68,0.29992670030008334,100,0.0004087771674268152,68,32,0,0.0011148468202549504
128,128.0,classical_mds_stress,0.0603264221204882,0.06159471097218327,0.0589698806789663,0.060185662706351215,-0.0013565414415218902,-0.001463604982161179,0.0013565414415218902,0.001463604982161179,-0.022486688151545232,-0.0029703462061206783,0.005680935800583249,0.54,0.05947776911575777,100,0.4841184136072915,54,46,0,0.6051480170091145
128,128.0,adjacent_residue_distance_rmse,0.22417624308776302,0.21112292344249678,0.23023239871045642,0.21530286575986138,0.006056155622693443,0.0025585139287034597,-0.006056155622693443,-0.0025585139287034597,0.0270151535206274,-0.01823032540737388,0.0055415364029991815,0.5,-0.0966575242726617,100,1.0,50,50,0,1.0
256,256.0,triangle_violation_fraction,0.001279296875,0.0009765625,0.0012939453125,0.0009765625,1.46484375e-05,0.0,-1.46484375e-05,0.0,0.011450381679389238,-0.0002392578125,0.00020520019531249933,0.44,-0.012558831126317092,100,0.7436441861052041,44,40,16,0.7967616279698616
256,256.0,negative_eigenvalue_mass_fraction,0.11670302289568013,0.11610928428092569,0.11132415233167085,0.1110513924793168,-0.005378870564009295,-0.0045473868439441095,0.005378870564009295,0.0045473868439441095,-0.04609024197100195,0.0025625421191462897,0.008050640164546244,0.7,0.3762707632358928,100,7.85013964559367e-05,70,30,0,0.0002943802367097626
256,256.0,rank3_residual_energy_fraction,0.18789900546782895,0.18585834180334146,0.1804781067148279,0.18061317970421478,-0.007420898753001019,-0.006143458500578347,0.007420898753001019,0.006143458500578347,-0.03949408212419531,0.0018226495486812595,0.01309486475334473,0.64,0.25172704688375735,100,0.006637120515926126,64,36,0,0.012444600967361486
