group,requested_length,flag,baseline_fail_candidate_fail,baseline_fail_candidate_pass,baseline_pass_candidate_fail,baseline_pass_candidate_pass,discordant_candidate_better,discordant_baseline_better,mcnemar_exact_p_value,baseline_pass_fraction,candidate_pass_fraction,mcnemar_exact_p_value_bh
overall,,empirical_real_like_geometry_pass,375,0,0,0,0,0,,0.0,0.0,
overall,,heuristic_edm_quality_pass,312,9,15,39,9,15,0.30745625495910645,0.144,0.128,0.4099416732788086
64,64.0,empirical_real_like_geometry_pass,100,0,0,0,0,0,,0.0,0.0,
64,64.0,heuristic_edm_quality_pass,42,5,15,38,5,15,0.04138946533203125,0.53,0.43,0.165557861328125
128,128.0,empirical_real_like_geometry_pass,100,0,0,0,0,0,,0.0,0.0,
128,128.0,heuristic_edm_quality_pass,96,3,0,1,3,0,0.25,0.01,0.04,0.4099416732788086
256,256.0,empirical_real_like_geometry_pass,100,0,0,0,0,0,,0.0,0.0,
256,256.0,heuristic_edm_quality_pass,99,1,0,0,1,0,1.0,0.0,0.01,1.0
384,384.0,empirical_real_like_geometry_pass,50,0,0,0,0,0,,0.0,0.0,
384,384.0,heuristic_edm_quality_pass,50,0,0,0,0,0,,0.0,0.0,
500,500.0,empirical_real_like_geometry_pass,25,0,0,0,0,0,,0.0,0.0,
500,500.0,heuristic_edm_quality_pass,25,0,0,0,0,0,,0.0,0.0,
