requested_length,metric,quantile,threshold,real_control_count,threshold_provenance
64,triangle_violation_fraction,0.99,0.0,64,matched real controls requested_length=64 q=0.990
64,negative_eigenvalue_mass_fraction,0.99,3.0924692580670974e-07,64,matched real controls requested_length=64 q=0.990
64,rank3_residual_energy_fraction,0.99,3.0810132363312875e-07,64,matched real controls requested_length=64 q=0.990
64,classical_mds_stress,0.99,6.942476460497476e-08,64,matched real controls requested_length=64 q=0.990
64,adjacent_residue_distance_rmse,0.99,0.14864897597565827,64,matched real controls requested_length=64 q=0.990
128,triangle_violation_fraction,0.99,0.0,64,matched real controls requested_length=128 q=0.990
128,negative_eigenvalue_mass_fraction,0.99,4.277771256801951e-07,64,matched real controls requested_length=128 q=0.990
128,rank3_residual_energy_fraction,0.99,4.254906075249403e-07,64,matched real controls requested_length=128 q=0.990
128,classical_mds_stress,0.99,5.7193193870847464e-08,64,matched real controls requested_length=128 q=0.990
128,adjacent_residue_distance_rmse,0.99,0.10258993680089436,64,matched real controls requested_length=128 q=0.990
256,triangle_violation_fraction,0.99,0.0,64,matched real controls requested_length=256 q=0.990
256,negative_eigenvalue_mass_fraction,0.99,6.037346441989835e-07,64,matched real controls requested_length=256 q=0.990
256,rank3_residual_energy_fraction,0.99,6.036698531377487e-07,64,matched real controls requested_length=256 q=0.990
256,classical_mds_stress,0.99,4.008876393795454e-08,64,matched real controls requested_length=256 q=0.990
256,adjacent_residue_distance_rmse,0.99,0.08825731543744259,64,matched real controls requested_length=256 q=0.990
384,triangle_violation_fraction,0.99,0.0,64,matched real controls requested_length=384 q=0.990
384,negative_eigenvalue_mass_fraction,0.99,7.171801553195503e-07,64,matched real controls requested_length=384 q=0.990
384,rank3_residual_energy_fraction,0.99,7.17116964168224e-07,64,matched real controls requested_length=384 q=0.990
384,classical_mds_stress,0.99,3.957829014773378e-08,64,matched real controls requested_length=384 q=0.990
384,adjacent_residue_distance_rmse,0.99,0.09756840216137772,64,matched real controls requested_length=384 q=0.990
500,triangle_violation_fraction,0.99,0.0,64,matched real controls requested_length=500 q=0.990
500,negative_eigenvalue_mass_fraction,0.99,8.028266407990072e-07,64,matched real controls requested_length=500 q=0.990
500,rank3_residual_energy_fraction,0.99,8.028631527027116e-07,64,matched real controls requested_length=500 q=0.990
500,classical_mds_stress,0.99,3.850429058147912e-08,64,matched real controls requested_length=500 q=0.990
500,adjacent_residue_distance_rmse,0.99,0.09309594233281444,64,matched real controls requested_length=500 q=0.990
